price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
7995,6,8036,0,6,2,194050.0,0,0,0,1,10,10,10.0
16000,3,971,0,5,2,85000.0,5,0,1,1,9,5,9.0
10950,4,5972,0,5,2,43418.0,0,0,1,1,9,8,9.0
4500,10,4969,0,5,2,155000.0,0,0,0,2,9,9,8.0
2800,27,9885,3,5,2,190000.0,0,0,0,1,0,9,18.0
25900,10,4519,0,6,2,73000.0,0,0,2,1,10,10,12.0
4999,15,5029,2,5,2,113772.0,0,0,2,2,9,3,13.0
8599,8,2913,2,3,2,38484.0,0,0,1,2,9,10,5.0
4800,28,5071,2,3,2,106117.0,0,0,1,3,3,9,12.0
27900,16,4177,2,5,2,60333.0,0,0,2,2,2,9,5.0
25500,10,3852,2,5,2,88705.0,0,0,0,1,8,10,6.0
4200,23,1705,1,4,2,232932.0,0,0,0,1,9,1,12.0
7000,27,9517,3,3,2,72000.0,0,0,1,0,9,10,5.0
5500,14,8342,3,3,2,110000.0,0,0,1,1,9,8,7.0
1500,10,3852,1,6,2,235000.0,0,0,1,1,8,8,17.0
8990,13,1264,0,3,2,111142.0,0,0,1,2,9,5,8.0
8500,16,9824,2,6,2,95350.0,0,0,2,2,9,9,9.0
7500,6,8028,3,6,2,180000.0,0,0,0,1,10,8,16.0
15500,35,9376,2,6,2,130885.0,0,0,0,1,10,1,12.0
14500,27,6505,0,5,2,5000.0,4,0,1,0,11,10,3.0
3950,7,251,0,3,2,139814.0,0,0,1,2,9,8,11.0
2200,7,7706,1,5,2,127000.0,0,0,1,2,2,1,12.0
8999,6,6046,3,3,2,55976.0,0,0,1,1,9,0,6.0
11499,6,6035,3,3,2,35034.0,0,0,1,2,9,0,3.0
8999,6,6046,3,3,2,75258.0,0,0,1,2,9,0,4.0
8499,10,4959,3,3,2,79523.0,0,0,1,1,9,8,6.0
12999,6,5434,3,5,2,39368.0,0,0,1,1,9,3,5.0
12999,11,1228,3,5,2,88489.0,0,0,0,1,0,3,7.0
29800,6,2585,0,6,2,57413.0,0,0,2,2,3,6,8.0
5495,6,5434,0,5,2,144240.0,0,0,1,1,9,10,10.0
5000,17,5875,2,5,2,137273.0,0,0,0,1,0,10,11.0
11999,35,2044,0,3,2,35721.0,0,0,1,1,9,8,3.0
9499,27,1374,3,3,2,51848.0,0,0,1,2,9,5,5.0
38200,5,2767,2,5,2,27976.0,0,0,0,1,9,10,4.0
9500,35,5373,2,5,2,149799.0,0,0,1,2,0,10,12.0
14999,8,2190,2,5,2,63037.0,0,0,2,1,9,10,5.0
17300,5,3518,2,6,2,141276.0,0,0,0,1,8,0,10.0
10499,7,494,2,5,2,88042.0,0,0,2,2,9,5,7.0
7500,35,8721,2,5,2,160000.0,0,0,2,2,8,9,15.0
7999,7,251,2,3,2,78980.0,0,0,1,1,9,0,5.0
9249,17,6789,3,3,2,63211.0,0,0,1,2,0,5,4.0
8000,10,3852,2,6,2,234000.0,0,0,0,1,10,0,11.0
8499,17,6789,3,3,2,21998.0,0,1,1,2,0,4,4.0
7999,8,2913,3,3,2,39994.0,0,0,1,2,9,6,4.0
9249,35,2562,0,3,2,64339.0,0,0,1,2,9,8,4.0
12800,11,9949,0,6,2,164855.0,5,0,0,1,0,9,9.0
11499,6,3446,3,3,2,54772.0,0,0,0,2,0,5,3.0
8500,15,7083,0,6,2,177000.0,4,0,0,1,0,0,15.0
16500,10,4097,0,6,0,190000.0,0,0,0,1,8,0,23.0
7400,27,6112,0,5,2,101000.0,4,0,1,2,9,8,6.0
4490,20,7445,2,5,2,244000.0,0,0,0,2,0,9,14.0
13500,23,1801,0,6,2,12600.0,0,0,2,1,9,0,11.0
6900,6,2721,3,3,2,53000.0,4,0,1,2,9,8,4.0
2400,8,2990,2,6,2,190.0,0,0,0,1,0,1,21.0
11995,27,7357,3,3,2,85978.0,0,0,0,1,0,9,3.0
3800,27,9533,2,3,2,100750.0,0,0,1,0,4,0,8.0
4500,17,5229,2,5,2,168821.0,0,0,0,1,0,5,16.0
2400,35,2035,2,3,2,277564.0,0,0,1,3,3,11,19.0
4499,4,5864,2,5,2,176623.0,0,0,1,1,9,4,15.0
17000,6,3777,3,6,2,94000.0,0,0,2,1,11,10,5.0
4700,6,2456,0,5,2,209000.0,0,0,2,2,10,1,15.0
16800,8,2186,0,5,2,38981.0,0,0,2,2,3,5,2.0
5995,17,2476,0,3,2,85000.0,0,0,0,1,0,0,13.0
6995,5,2769,0,5,2,55000.0,0,0,2,1,9,2,15.0
9995,5,2769,0,5,2,101000.0,0,0,0,1,9,9,9.0
11200,8,2190,0,5,2,90302.0,4,0,0,2,9,0,5.0
12500,35,838,2,5,2,141098.0,0,0,2,2,0,5,12.0
7850,10,3181,0,6,2,107763.0,0,0,2,1,11,10,11.0
4300,20,3485,2,5,2,188927.0,0,0,1,2,9,9,15.0
3200,13,2275,0,3,2,255390.0,0,0,1,2,9,1,14.0
6200,10,3852,0,5,2,69698.0,0,0,2,1,10,3,14.0
3800,10,4732,2,3,2,130323.0,0,0,1,3,9,0,8.0
3300,18,8443,2,3,2,188963.0,0,1,1,0,0,0,9.0
10400,6,2432,0,4,2,111871.0,0,0,0,2,10,8,8.0
9200,10,3061,2,6,2,214563.0,0,0,2,1,7,10,7.0
7473,30,110,0,6,2,135189.0,0,0,0,2,8,5,17.0
11250,8,2202,0,6,2,104832.0,0,0,0,1,9,9,5.0
6400,35,7784,0,6,2,161123.0,5,0,0,1,0,0,17.0
6995,10,4725,0,5,2,157744.0,0,0,0,1,0,0,10.0
2800,36,5164,2,3,2,129000.0,0,0,1,1,4,1,17.0
4200,17,5229,0,5,2,215000.0,0,0,0,1,0,10,14.0
2800,35,2053,2,3,2,198000.0,0,0,1,2,9,5,15.0
3500,10,3126,2,6,2,167000.0,0,0,2,1,11,10,16.0
2175,32,8289,3,3,2,73000.0,0,0,1,0,9,4,19.0
13850,13,1345,0,3,2,7000.0,4,0,1,2,9,9,3.0
3200,3,9730,0,5,2,203000.0,0,0,0,2,0,0,16.0
33800,11,7882,3,6,2,36500.0,0,0,2,1,10,9,2.0
13000,30,40,2,6,2,146000.0,0,0,0,1,10,5,15.0
16999,6,8030,2,6,2,137230.0,0,0,0,1,10,10,7.0
10499,6,2686,2,3,2,53601.0,0,0,1,2,9,0,3.0
15999,6,2686,2,3,2,17498.0,0,0,1,2,9,0,3.0
12800,10,3852,0,5,2,108500.0,0,0,2,1,8,10,4.0
4800,6,7519,0,5,2,202635.0,0,0,0,2,10,10,17.0
6700,14,3403,3,5,2,97467.0,0,0,1,1,5,3,13.0
3995,26,6656,0,3,2,114010.0,0,0,0,2,0,0,16.0
